country_name,artist_name,Peak Date,Title,Streams,Global,US,GB,CA,MX,AU,DE,PH,IN,BR,ID,FR,NL,SE,IT,MY,NO,ES,PL,DK,TR,CL,SG,PT,BE,TH,NZ,AR,CH,FI,PE,IE,GR,CO,RO,ZA,AE,CZ,VN,HU,AT,SA,TW,IL,BG,SK,CR,EC,LT,HK,KZ,UA,PK,RU,EG,LV,JP,GT,MA,KR,EE,PA,HN,BO,SV,IS,DO,NI,PY,UY,CY,LU,VE,NG,MT,BY,AD
global weekly totals,The Weeknd - Blinding Lights,2020/03/20,Blinding Lights,4917778721,1,1,1,1,2,1,2,22,4,25,40,1,1,1,5,5,1,23,1,1,14,13,2,1,1,53,1,15,1,1,6,1,4,12,2,1,2,1,39,1,1,6,18,1,1,1,5,6,1,2,41,1,72,1,5,1,53,6,4,8,1,17,6,3,5,1,30,5,27,24,2,1,154,--,1,153,14
global weekly totals,The Weeknd - Blinding Lights,2016/11/26,Starboy,3258690768,1,1,2,1,7,1,2,8,12,2,7,1,1,1,3,2,1,8,1,1,1,9,2,1,1,108,1,8,1,2,9,2,1,6,25,80,11,1,140,1,2,7,2,81,1,1,6,9,1,2,21,87,31,148,70,1,2,8,56,112,1,5,4,8,6,1,5,5,11,8,1,1,144,--,1,173,2
global weekly totals,The Weeknd - Blinding Lights,2023/02/24,Die For You,2396866914,12,8,25,8,127,27,121,10,137,140,75,146,88,94,120,8,67,176,64,69,75,161,12,17,60,13,25,--,63,117,64,57,22,148,29,35,9,59,49,75,109,21,151,85,14,47,92,136,34,119,35,196,65,--,67,24,51,148,83,36,8,71,71,115,112,32,97,72,--,--,29,52,90,--,80,--,--
global weekly totals,The Weeknd - Blinding Lights,2024/02/01,One Of The Girls,1968996736,3,18,22,12,91,25,33,10,98,61,3,86,63,28,119,1,20,--,37,50,94,58,6,21,55,10,25,152,27,57,34,58,57,81,20,31,2,69,11,39,49,2,69,98,18,23,51,60,6,55,1,26,53,--,92,7,--,125,72,75,18,25,45,53,51,40,69,6,110,196,13,30,52,--,--,--,--
global weekly totals,The Weeknd - Blinding Lights,2021/02/08,Save Your Tears,1778312344,2,2,7,2,5,4,6,13,27,76,37,5,14,6,10,3,4,61,6,3,80,59,3,5,4,14,17,76,2,2,35,5,22,30,3,6,2,7,16,3,4,5,8,5,7,4,42,38,1,12,63,17,84,37,25,2,114,34,42,3,2,36,19,35,31,1,47,30,91,87,5,2,192,--,5,185,27
global weekly totals,The Weeknd - Blinding Lights,2022/12/05,* Creepin',1242571260,2,1,4,1,144,3,5,16,138,91,103,7,7,6,31,3,6,127,18,2,44,157,2,4,2,114,3,--,3,14,143,5,1,164,1,2,1,16,53,10,7,2,99,10,1,3,97,184,1,81,12,54,14,--,7,1,--,--,9,40,1,53,100,135,166,3,78,136,--,186,1,2,96,34,--,--,--
global weekly totals,The Weeknd - Blinding Lights,2015/09/04,The Hills,1239073143,3,2,7,3,18,4,10,18,--,8,53,21,25,12,27,11,16,54,8,8,10,27,12,9,10,170,2,48,7,35,55,7,6,53,70,118,70,10,185,10,20,111,7,179,4,6,32,46,7,12,172,130,183,192,178,4,--,29,--,182,6,17,9,21,17,3,8,16,26,46,5,6,--,--,6,--,--
global weekly totals,The Weeknd - Blinding Lights,2024/09/27,Timeless,1029505804,3,1,7,1,196,9,6,--,78,133,--,19,23,17,39,23,4,103,6,8,97,106,13,5,15,148,8,191,2,12,179,18,26,159,1,15,3,9,126,8,4,4,139,44,3,2,51,186,2,40,6,5,30,--,52,1,--,194,23,16,1,51,155,160,166,2,119,132,--,--,7,3,106,67,--,--,--
global weekly totals,The Weeknd - Blinding Lights,2024/02/22,Stargirl Interlude,846590440,42,24,58,26,151,74,109,--,--,113,165,136,100,106,108,111,106,177,37,100,57,--,124,64,82,--,89,--,62,120,--,64,25,138,94,196,97,63,--,68,123,117,125,--,21,34,177,--,28,121,61,107,--,--,--,24,54,162,--,--,42,134,147,195,171,50,122,168,--,--,56,60,--,--,63,--,--
global weekly totals,The Weeknd - Blinding Lights,2024/01/26,Popular,832742522,12,16,8,4,--,7,18,129,95,--,176,82,28,25,71,45,10,--,48,13,129,199,23,28,20,179,5,--,11,47,--,18,54,--,10,33,2,27,--,10,13,3,148,54,2,5,155,--,12,99,5,18,31,--,117,4,--,--,63,55,1,127,--,--,--,8,--,--,--,--,6,20,161,139,--,--,--
