country_name,rank,artist_name
global weekly totals,1,The Weeknd - Blinding Lights
global weekly totals,2,Ed Sheeran - Shape of You
global weekly totals,3,Harry Styles - As It Was
global weekly totals,4,Lewis Capaldi - Someone You Loved
global weekly totals,5,Post Malone - Sunflower - Spider-Man: Into the Spider-Verse
global weekly totals,6,The Neighbourhood - Sweater Weather
global weekly totals,7,Billie Eilish - lovely
global weekly totals,8,Imagine Dragons - Believer
global weekly totals,9,The Kid LAROI - Stay
global weekly totals,10,Ed Sheeran - Perfect
us weekly totals,1,J. Cole - No Role Modelz
us weekly totals,2,Post Malone - Sunflower - Spider-Man: Into the Spider-Verse
us weekly totals,3,The Neighbourhood - Sweater Weather
us weekly totals,4,Juice WRLD - Lucid Dreams
us weekly totals,5,Kendrick Lamar - HUMBLE.
us weekly totals,6,"Tyler, The Creator - See You Again"
us weekly totals,7,Morgan Wallen - Last Night
us weekly totals,8,Lil Uzi Vert - XO TOUR Llif3
us weekly totals,9,Zach Bryan - Something in the Orange
us weekly totals,10,Travis Scott - goosebumps
gb weekly totals,1,The Killers - Mr. Brightside
gb weekly totals,2,Lewis Capaldi - Someone You Loved
gb weekly totals,3,Vance Joy - Riptide
gb weekly totals,4,Drake - One Dance
gb weekly totals,5,The Weeknd - Blinding Lights
gb weekly totals,6,Arctic Monkeys - Do I Wanna Know?
gb weekly totals,7,Oasis - Wonderwall - Remastered
gb weekly totals,8,Ed Sheeran - Shape of You
gb weekly totals,9,Hozier - Take Me To Church
gb weekly totals,10,Mariah Carey - All I Want for Christmas Is You
ad weekly totals,1,Luis Fonsi - Despacito (Featuring Daddy Yankee)
ad weekly totals,2,Ed Sheeran - Shape of You
ad weekly totals,3,C. Tangana - TÃº Me Dejaste De Querer
ad weekly totals,4,Maluma - HawÃ¡i
ad weekly totals,5,Bad Bunny - DÃKITI
ad weekly totals,6,Sech - RelaciÃ³n - Remix
ad weekly totals,7,Manuel Turizo - La Nota
ad weekly totals,8,Enrique Iglesias - SUBEME LA RADIO
ad weekly totals,9,Bad Bunny - Dakiti
ad weekly totals,10,Bad Bunny - LA NOCHE DE ANOCHE
ar weekly totals,1,Manuel Turizo - La Bachata
ar weekly totals,2,Luck Ra - Ya No Vuelvas (VersiÃ³n Cuarteto)
ar weekly totals,3,Big One - Un Finde | CROSSOVER #2
ar weekly totals,4,TINI - MiÃ©nteme
ar weekly totals,5,Luck Ra - La Morocha
ar weekly totals,6,"Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52"
ar weekly totals,7,No Te Va Gustar - A las Nueve
ar weekly totals,8,Big One - En la Intimidad
ar weekly totals,9,Airbag - Por Mil Noches
ar weekly totals,10,Luck Ra - QUE ME FALTE TODO
au weekly totals,1,The Killers - Mr. Brightside
au weekly totals,2,Vance Joy - Riptide
au weekly totals,3,Glass Animals - Heat Waves
au weekly totals,4,Lewis Capaldi - Someone You Loved
au weekly totals,5,Post Malone - Sunflower - Spider-Man: Into the Spider-Verse
au weekly totals,6,The Weeknd - Blinding Lights
au weekly totals,7,Fleetwood Mac - Dreams - 2004 Remaster
au weekly totals,8,The Kid LAROI - Stay
au weekly totals,9,James Arthur - Say You Won't Let Go
au weekly totals,10,Ed Sheeran - Shape of You
at weekly totals,1,Tom Odell - Another Love
at weekly totals,2,Bonez MC - Ohne mein Team
at weekly totals,3,Apache 207 - Roller
at weekly totals,4,Mariah Carey - All I Want for Christmas Is You
at weekly totals,5,Wham! - Last Christmas
at weekly totals,6,Vance Joy - Riptide
at weekly totals,7,The Weeknd - Blinding Lights
at weekly totals,8,Bonez MC - 500 PS
at weekly totals,9,Glass Animals - Heat Waves
at weekly totals,10,The Neighbourhood - Sweater Weather
